SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_16-00710	WXS	WXS
aml_ohsu_2018_16-00724	WXS	WXS
aml_ohsu_2018_16-00731	WXS	WXS
aml_ohsu_2018_16-00733	WXS	WXS
aml_ohsu_2018_16-00755	WXS	WXS
aml_ohsu_2018_16-00765	WXS	WXS
aml_ohsu_2018_16-00766	WXS	WXS
aml_ohsu_2018_16-00770	WXS	WXS
aml_ohsu_2018_16-00771	WXS	WXS
aml_ohsu_2018_16-00783	WXS	WXS
aml_ohsu_2018_16-00810	WXS	WXS
aml_ohsu_2018_16-00815	WXS	WXS
aml_ohsu_2018_16-00818	WXS	WXS
aml_ohsu_2018_16-00820	WXS	WXS
aml_ohsu_2018_16-00822	WXS	WXS
aml_ohsu_2018_16-00831	WXS	WXS
aml_ohsu_2018_16-00836	WXS	WXS
aml_ohsu_2018_16-00846	WXS	WXS
aml_ohsu_2018_16-00852	WXS	WXS
aml_ohsu_2018_16-00867	WXS	WXS
aml_ohsu_2018_16-00875	WXS	WXS
aml_ohsu_2018_16-00880	WXS	WXS
aml_ohsu_2018_16-00882	WXS	WXS
aml_ohsu_2018_16-00883	WXS	WXS
aml_ohsu_2018_16-00886	WXS	WXS
aml_ohsu_2018_16-00950	WXS	WXS
aml_ohsu_2018_16-00951	WXS	WXS
aml_ohsu_2018_16-00968	WXS	WXS
aml_ohsu_2018_16-00970	WXS	WXS
aml_ohsu_2018_16-00981	WXS	WXS
aml_ohsu_2018_16-01004	WXS	WXS
aml_ohsu_2018_16-01005	WXS	WXS
aml_ohsu_2018_16-01009	WXS	WXS
aml_ohsu_2018_16-01010	WXS	WXS
aml_ohsu_2018_16-01017	WXS	WXS
aml_ohsu_2018_16-01018	WXS	WXS
aml_ohsu_2018_16-01022	WXS	WXS
aml_ohsu_2018_16-01024	WXS	WXS
aml_ohsu_2018_16-01047	WXS	WXS
aml_ohsu_2018_16-01049	WXS	WXS
aml_ohsu_2018_16-01055	WXS	WXS
aml_ohsu_2018_16-01059	WXS	WXS
aml_ohsu_2018_16-01061	WXS	WXS
aml_ohsu_2018_16-01080	WXS	WXS
aml_ohsu_2018_16-01082	WXS	WXS
